- 268% chunk_save                                  (min=0.9s, mean=4.0s, max=5.1s, n=80)
-  71% jaxagent_train                              (min=0.0s, mean=0.2s, max=0.2s, n=556)
-   8% jaxagent_policy                             (min=0.0s, mean=0.1s, max=0.1s, n=139)
-   5% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.1s, n=556)
-   2% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=557)
-   2% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=557)
-   1% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=556)
-   1% checkpoint_save                             (min=1.5s, mean=1.5s, max=1.5s, n=1)
-   1% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=8314)
-   1% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=0.2s, max=0.7s, n=3)
-   0% checkpoint_save/jaxagent_save               (min=0.4s, mean=0.4s, max=0.4s, n=1)
-   0% checkpoint_save/checkpoint_write            (min=0.0s, mean=0.1s, max=0.3s, n=3)
-   0% jaxagent_report                             (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=582)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=2224)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=8317)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=2224)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=557)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=8880)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=556)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=368)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=595)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=1856)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TensorBoardOutput              (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
