-  89% jaxagent_policy                             (min=0.0s, mean=0.1s, max=0.2s, n=1110)
-   6% jaxagent_train                              (min=0.0s, mean=0.0s, max=0.0s, n=555)
-   4% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=555)
-   2% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=556)
-   2% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=556)
-   1% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=555)
-   1% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=8315)
-   0% jaxagent_report                             (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=565)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=1110)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=1110)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=8323)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=556)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=8879)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=573)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=555)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=1046)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TensorBoardOutput              (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=64)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% replay_add/complete_chunk                   (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn/logger_add                            (min=0.0s, mean=0.0s, max=0.0s, n=5)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
