-  69% jaxagent_policy                    (min=0.0s, mean=0.0s, max=0.7s, n=2100)
-   8% jaxagent_train                     (min=0.0s, mean=0.0s, max=4.1s, n=507)
-   6% replay_sample                      (min=0.0s, mean=0.0s, max=3.1s, n=509)
-   4% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.3s, n=507)
-   1% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=509)
-   1% checkpoint_save                    (min=1.7s, mean=1.7s, max=1.7s, n=1)
-   1% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=506)
-   1% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=7759)
-   1% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.3s, max=0.7s, n=3)
-   0% checkpoint_save/jaxagent_save      (min=0.6s, mean=0.6s, max=0.6s, n=1)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.1s, max=0.2s, n=3)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=2100)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=2100)
-   0% replay_update/set_compose          (min=0.0s, mean=0.0s, max=0.0s, n=337)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=7802)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=509)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=8112)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=507)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=1920)
-   0% replay_sample/get_compose          (min=0.0s, mean=0.0s, max=0.0s, n=342)
-   0% replay_add/get_compose             (min=0.0s, mean=0.0s, max=0.0s, n=116)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn/logger_add                   (min=0.0s, mean=0.0s, max=0.0s, n=11)
-   0% replay_add/complete_chunk          (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
